Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"AlQallaf N., Elnagar D.W., Aly S.G., Elkhodary K.I., Ghannam R.","Empathy, Education, and Awareness: A VR Hackathon’s Approach to Tackling Climate Change",2024,"Sustainability (Switzerland) ","16","6","2461","","",,5,"10.3390/su16062461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189019918&doi=10.3390%2fsu16062461&partnerID=40&md5=de4278d71c53153753f37572d05da017","Climate change education is crucial for fostering informed and engaged future generations. However, traditional pedagogies often fail to engage learners fully and provide real-world, experiential learning. This paper presents a novel approach to climate change education through a three-day virtual reality (VR) hackathon. The hackathon focused on four United Nations (UN) Sustainable Development Goals (SDGs)—Quality Education, Affordable and Clean Energy, Sustainable Cities and Communities, and Climate Action. Using VR technology and game design software, engineering students worked in teams. They competed against each other in designing immersive environments that demonstrated their understanding of these SDGs and climate change. Our goal was to encourage the development of empathy, education, and awareness around these critical global issues. The hackathon also integrated authentic assessments, mirroring real-world engineering tasks and providing a more practical and relevant learning experience. Our findings suggest that this VR hackathon has significantly enhanced students’ understanding of the SDGs and climate change issues, their competency with VR technologies, as well as their teamwork and problem-solving skills. This paper discusses the hackathon’s design, implementation, and outcomes, highlighting the potential of such innovative approaches in tackling climate change education and awareness. © 2024 by the authors.","climate change; education; renewable energy; sustainable development; virtual reality","alternative energy; climate change; education; learning; sustainable development; United Nations; virtual reality",Article,"All Open Access, Gold, Green",Scopus
"Nolan M., Mulligan D., Carden M., Goodman L.","Engineering Education for a Sustainable Future: Integrating Social and Environmental Transversal Competencies",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"1968","1977",,,"10.5281/zenodo.14256925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218640904&doi=10.5281%2fzenodo.14256925&partnerID=40&md5=658c803a9f76766c1ab1a13e62b5662a","Inclusive design in engineering is essential to enhance accessibility. Ireland's national Deposit Return Scheme (DRS) exemplifies the consequences of excluding inclusive design, as return machines are primarily designed for standing users, making them inaccessible to wheelchair users. Additionally, cramped spaces and narrow aisles can further hinder manoeuvrability, underscoring the need for inclusive design principles to ensure equal participation in recycling efforts. This paper focuses on the development of a Socio-Environmental Framework that integrates transversal competencies to foster sustainable and inclusive designs in engineering education. Transversal competencies, encompassing skills, values, and attitudes essential for comprehensive development and adaptability, are vital for advancing inclusive design. These competencies, which include communication, empathy, lifelong learning, and teamwork, are supported by frameworks such as LifeComp and GreenComp developed by the EU. LifeComp focuses on personal, social, and learning-to-learn competencies, while GreenComp emphasizes sustainability competencies. By evaluating a professional development module for Level 7 engineering students, this study assesses the curriculum's effectiveness in preparing future engineers to create inclusive and sustainable solutions. Emphasizing empathy, critical thinking, and adaptability, the framework guides engineers to meet societal, ethical, and environmental responsibilities. © 2024 SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers. All rights reserved.","Ethical Engineering; Inclusive Design; Sustainability; Transversal Competencies","Ecodesign; Environmental design; Design Principles; Ethical engineering; Inclusive design; Ireland; Life long learning; Manoeuvrability; Personal learning; Social and environmental; Transversal competency; Wheelchair users; Sustainable development",Conference Paper,"",Scopus
"Matthiasdottir A., Audunson H., Dagienė V., Rouvrais S., Barus A., Gerwel C.","EXAMINING BEST PRACTICES IN CURRICULUM DESIGN: INSIGHTS FOR ENGINEERING EDUCATION",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"716","726",,1,"10.5281/zenodo.14254854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218628462&doi=10.5281%2fzenodo.14254854&partnerID=40&md5=c8fe7567a997068378bb370f1a5452b6","Higher education must be prepared for the ever-changing needs of the world to ensure that future engineers receive extensive training and are equipped to provide significant contributions to both the workforce and society. It is important for higher education leaders to be aware of the need for regularly reviewing curriculum and take part in development to ensure quality improvement. Engineering education needs to be up to date and driven by the need to prepare graduates for the challenges posed by rapidly changing technology, industry, and society. This paper specifically aims to identify best practices for curriculum design in engineering education. Data was collected through the exchange of engineering and business curricula among members participating in the DECART project (DECART 2022). The shared curricula underwent critical examination based on key features related to curriculum components. The analysis included reflection and feedback from project partners. The findings hold significance for engineering educators in various contexts, offering insights into curriculum transformation, agility, and resilience amidst increasingly Volatile, Uncertain, Complex, and Ambiguous (VUCA) environments, which continue to influence engineering education and higher education. © 2024 SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers. All rights reserved.","best practices; curriculum design; curriculum transformation; engineering education; VUCA","Curricula; Personnel training; Requirements engineering; Teaching; Best practices; Changing needs; Curricula design; Curriculum transformation; Design insights; Engineering curriculum; High educations; Quality improvement; Technology industry; Volatile, uncertain, complex, and ambiguous; Engineering education",Conference Paper,"",Scopus
"Tayne K., Stevenson K., McCollum A., DeMattia E., Jeffs P.","Exploring Narratives about People and the Environment in the Context of Resilience Education",2024,"Computer-Supported Collaborative Learning Conference, CSCL",,,,"2401","2402",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005834427&partnerID=40&md5=7c5fb6ef990f84beb242ac7af47505db","This paper offers a conceptual contribution for the study of environmental learning, considering which stories about people and the environment might be told through a lens of resilience. Grounded in our research project and broader literature, we introduce narrative themes that may emerge from an interdisciplinary resilience framework: collaborative communities and agentic hope for people and the environment. We also propose narrative tensions for justice and global socio-environmental challenges that should be considered. © ISLS.",,"Teaching; Collaborative community; Environmental challenges; Engineering education",Conference Paper,"",Scopus
"Kjelsberg R., Thorseth T.M., Kahrs M.S.","ENGAGING ENGINEERING STUDENTS IN STS TOPICS UTILIZING STUDENTS' PERCEIVED RELEVANCE",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"608","615",,,"10.5281/zenodo.14254752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218621922&doi=10.5281%2fzenodo.14254752&partnerID=40&md5=17c78d68c0d0d1597d7588d0c7e4ca39","Teaching Science-Technology-Society (STS) courses to engineering students can be challenging. Several studies have shown that engineering students fail to see the relevance of social and humanist science in engineering education, despite the importance of STS subjects in later professional life. In this study, we have asked 1515 first-year engineering students about what nonscientific and non-technical topics they believe are important for engineers to be knowledgeable about. These data are analyzed, and the results are used to suggest a way of teaching these subjects in line with students' perceived relevance. © 2024 SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers. All rights reserved.","collaborative; engineering; ethics; STS; sustainability","Engineering education; Ethical technology; Requirements engineering; Teaching; Collaborative; First-year engineering; Perceived relevances; Professional life; Science technologies; Science-technology-society; Students",Conference Paper,"",Scopus
"Tarrazó-Serrano D., González-Pavón C., Castiñeira-Ibáñez S., Arizo-García P., Uris A., Rubio C.","Bridging Sustainability and Physics: Fostering Inclusion and Awareness of SDGs in Engineering Curriculum",2024,"International Journal of Engineering Education","40","4",,"965","978",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200334027&partnerID=40&md5=e7c9228f813cab4909e6f173acbe1929","This study evaluates the integration of the Sustainable Development Goals (SDGs), focusing on SDG 13 (Climate Action), in higher education and its impact on students’ awareness and knowledge at the Universitat Politècnica de València. Given the urgency of addressing climate change and its repercussions, the research highlights the pivotal role of education in fostering understanding and engagement with the SDGs, particularly among engineering students. The study utilized pre- and post-awareness session surveys to assess the prior knowledge and subsequent learning progression concerning SDGs among students from the School of Telecommunications Engineering and the School of Agricultural Engineering and Environment. Results indicate a significant knowledge gap, with over 60% of students unaware of the SDGs. However, following targeted educational interventions, a marked increase in SDG comprehension and interest was observed, particularly among students from the agricultural and environmental engineering school, reflecting disciplinary influence on sustainability receptivity. Gender differences emerged, with women more aware of climate change’s present effects while men expressed greater interest in future-related issues. Older students demonstrated better content assimilation, and public education students showed higher SDG awareness than those from private institutions. The study underscores the necessity for personalized education strategies and a revised approach to integrating SDGs into curricula and research projects to enhance the effectiveness of sustainability education in preparing future professionals to contribute to global sustainability challenges. © 2024 TEMPUS Publications.","challenge learning; meaningful learning; Physics; problem-based learning; SGDs","Agriculture; Climate change; Curricula; Engineering education; Students; Challenge learning; Engineering curriculum; High educations; Learning progressions; Meaningful learning; Prior-knowledge; Problem based learning; SGD; Student knowledge; Students awareness; Sustainable development",Article,"",Scopus
"Van De Zande G.D., Linder B., Zastavker Y.V.","WIP: Towards a Sustainability Practice and Ethos in a First-Year, Engineering Design Experience",2024,"Proceedings - Frontiers in Education Conference, FIE",,,,"","",,,"10.1109/FIE61694.2024.10893436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000763564&doi=10.1109%2fFIE61694.2024.10893436&partnerID=40&md5=bed0623418c4f714e311a73c118effdf","This Work-in-Progress Innovative Practice paper describes a five-year sustainability intervention in an introductory engineering design course. With the aim of preparing future engineers, undergraduate engineering education is shifting environmental sustainability from the outskirts of the student experience to the center of curricular structures. For example, student engagements with environmental sustainability, referred to as 'sustainability' in this paper, are moving from co-curricular experiences (e.g., Grand Challenges Scholars Program) to required coursework. Efforts to identify and inculcate sustainability-related knowledge, skills, and abilities, as well as behaviors, beliefs, and mindsets needed by engineering graduates are advancing. This transformation, while critical, can be challenging for institutions, instructors, and students alike, and results from early implementers of sustainability-related curricular experiences can inform these efforts. We present an intervention integrating ecological system design practices. Our innovative practice lies in pursuing holistic treatment of environmental sustainability in a core required introductory course enlivening disciplinary practices with student-centered pedagogy. For the purposes of preliminary assessment of this intervention, we reviewed students' engagement with sustainability during the course, their post-experience sustainability beliefs and attitudes, and the course assistants' narratives about their engagement with the students focused on sustainability. Preliminary results indicate a limited affinity for autonomous engagement with sustainability practices. Potential emerging explanations include differing perspectives between students and instructors on what constitutes impactful sustainability practice, a lack of a supporting context for establishing personal beliefs, and a lack of support for developing course-related ideas of the self and sustainability. Our experience has implications for early STEM curricula involving environmental sustainability. Requiring sustainability knowledge, skills, and abilities development ensures all students experience certain practices, but does not ensure their adoption into professional identities. We propose highlighting the course's hidden curriculum and focusing on the social architecture, establishing a more explicit community-of-practice container to enable more authentic sustainability participation. © 2024 IEEE.","first-year design curriculum; identity-based education; knowledge-skills-abilities; sustainability education","Curricula; Ecodesign; Sustainable development; Sustainable development goals; Teaching; Design curricula; Environmental sustainability; First year design; First-year design curriculum; Identity-based; Identity-based education; Innovative practices; Knowledge-skill-ability; Sustainability education; Sustainability practices; Students",Conference Paper,"",Scopus
"Ramachandran V., Roach K., Tilley E.","Integrating Responsible Innovation into Engineering Education: Insights from Scenario Leads at UCL's Integrated Engineering Programme",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"2054","2062",,,"10.5281/zenodo.14256943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218635401&doi=10.5281%2fzenodo.14256943&partnerID=40&md5=58f7fe001e66974ec4805d695b56332a","This paper explores the integration of responsible innovation into engineering education through a case study of UCL's Integrated Engineering Programme. Focusing on the Design and Professional Skills (DPS) modules, which includes scenarios designed to simulate real-world engineering challenges, the study investigates the perspectives of scenario leads on incorporating topics related to responsible innovation, such as ethics, sustainability, risk management, and inclusivity. Drawing on interviews with scenario leads, the paper identifies challenges and successes in integrating responsible innovation into DPS scenarios, including time constraints, disciplinary-specific contextualization, and means of assessment. Despite these challenges, certain success stories highlight the potential for meaningful integration of responsible innovation topics. Through a review of literature on responsible innovation and engineering education, the paper contextualizes the findings within broader discussions of curriculum development and interdisciplinary approaches to teaching ethics and social responsibility. Emphasizing the importance of ongoing dialogue and collaboration, the paper concludes by envisioning a forward-looking approach to curriculum development that prioritizes responsible innovation and prepares engineering students to address complex societal challenges in their future careers. © 2024 SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers. All rights reserved.","Ethics; Responsibility; Responsible Innovation; Scenarios; Sustainability","Curricula; Engineering education; Engineering research; Ethical aspects; Teaching; Case-studies; Curriculum development; Design skills; Engineering program; Integrated engineering; Professional skills; Real-world; Responsibility; Responsible innovation; Scenario; Risk management",Conference Paper,"",Scopus
"Noweir B., Allarakhia M., Gomez W.D.","A path for STEM outreach and sustainability education [STEM Education]",2024,"IEEE Potentials","43","4",,"6","13",,1,"10.1109/MPOT.2024.3469469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208238027&doi=10.1109%2fMPOT.2024.3469469&partnerID=40&md5=ca2e594d2d937ff90f453e8456164af3","Effective science, technology, engineering and math (STEM) education should encourage students to think holistically about the impact they will have on society beyond the classroom. It should encourage students to imagine, and problem solve for a better world in which we all strive to meet the United Nations Sustainable Development Goals (UN SDGs). STEM outreach should ensure that the makers and doers of STEM projects are empowered by mentors who want to have their own purpose surpassed by more innovative ideas of the next generation so that humanity is propelled forward - together. This article provides both conceptual and pragmatic examples of this vision for STEM outreach and sustainability and challenges the reader to start engaging these ideas towards the vision set out thirty-seven years ago called ""Our Common Future."" © 1988-2012 IEEE.",,"Innovative ideas; Science technologies; Sustainability education; United Nations; Sustainable development goals",Article,"",Scopus
"Isaac S., Rossi V., de Lima J.","TRANSVERSAL SKILLS THAT PROMOTE SUSTAINABILITY - AN EXPERIENTIAL ACTIVITY FOR ENGINEERING STUDENTS",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"2718","2724",,,"10.5281/zenodo.14260981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218642829&doi=10.5281%2fzenodo.14260981&partnerID=40&md5=5ff7f556603103b7e30bc270bc2081c2","This workshop addresses two major preoccupations in engineering education: the need to integrate sustainability and transversal skill development. In addition to knowledge about sustainability, engineering students require skills for effectively integrating these concepts into their work to both perceive opportunities and to convince others to adopt more sustainable approaches. It is these skills that are the focus of this workshop. Participants will experience an interactive activity with tangibles, designed for engineering students, that targets the development of 3 transversal skills relevant to sustainability: systems thinking, perspective taking and negotiation. This activity employs a three-facet framework for teaching transversal skills: knowing (strategies and models to implement the skill), experiencing (opportunities to apply the skills and encounter relevant difficulties) and learning by experience (meta-cognitive/emotional reflection to promote transfer). Workshop activities provide structured opportunities to consider how to create learning experiences that embody the evidence-informed criteria of providing relevant information on implementing the targeted skills, supporting low-stakes experimentation, delivering timely feedback and encouraging transfer into future contexts. This workshop provides engineering educators with both a specific activity (https://doi.org/10.5281/zenodo.10731771) and a general framework (https://doi.org/10.5281/zenodo.13328581) for designing activities to teach transversal skills. Engineering students consistently express interest in developing their transversal skills and in sustainability. By exploiting their dual motivations, this workshop offers a practical way to equip students with skills fundamental for responsible engineers. © 2024 SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers. All rights reserved.","experiential learning; negotiation; sustainability; systems thinking; Transversal skills","Engineering education; Requirements engineering; Sustainable development goals; Systems thinking; Experiential learning; Integrate sustainability; Interactive activities; Learning by experience; Metacognitives; Negotiation; Perspective taking; Skills development; System thinkings; Transversal skills; Students",Conference Paper,"",Scopus
"Feliciano-Cruz L.I., López Del Puerto C., Trinidad I.P., López R.Z.","Development of Innovative Educational Modules to Empower High School and Undergraduate Students to Pursue Careers in Resilient Coastal Infrastructure",2024,"Proceedings - Frontiers in Education Conference, FIE",,,,"","",,,"10.1109/FIE61694.2024.10893386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000793223&doi=10.1109%2fFIE61694.2024.10893386&partnerID=40&md5=578f9dec8c308f678e7456e0c0ad4224","This research-to-practice full paper delineates the development and impact of an educational initiative at the University of Puerto Rico at Mayagiüez, sponsored by the Coastal Resilience Center at the University of North Carolina at Chapel Hill. This initiative utilizes constructivist, experiential, and immersive learning theories to create engaging, practical learning experiences for high school and undergraduate students, specifically tailored to the unique challenges of Puerto Rico-a region frequently subjected to extreme natural events and exposed to multihazard risk. The primary objective of this educational initiative is to address the severe shortage of professionals capable of managing and aiding recovery from natural disasters in coastal and neighboring regions. Through educational modules hosted on the Interactive Learning Hub (IL-HUB), the program aims to attract talented STEM and other disciplines students, cultivate a skilled workforce, enhance infrastructure resilience, foster innovative problem-solving skills, and bridge the gap in professional expertise necessary for effective disaster response and recovery. The initiative is particularly relevant given Puerto Rico's vulnerability to hurricanes, earthquakes, and other natural hazards. By leveraging real-world scenarios and hands-on activities, students gain a deep understanding of resilient coastal infrastructure (RCI) and disaster management practices. A mixed-method, performance-focused survey approach was employed to evaluate the effectiveness of this initiative, involving quantitative pre- and post-module assessments complemented by qualitative feedback from participants. Survey responses indicate that 85% of participants rated the lectures and activities positively, expressing satisfaction with the quality of the presentations, organization, and clarity of expression. Additionally, 85.7% of students reported a heightened curiosity or commitment to pursuing further studies or careers in resilience-related fields, highlighting the significant impact of the program on student engagement and interest in RCI. These results demonstrate a significant level of student engagement and understanding of RCI suggesting that these modules substantially promote learning and resilience planning while encouraging students to consider these areas as a professional career path. The paper outlines specific educational outcomes, including enhanced student interest in RCI careers and better preparation for addressing coastal challenges. By detailing these methods and results, the paper aims to provide a replicable model for educators seeking to integrate similar frameworks into their curriculum. This approach contributes valuable insights into the practice of engineering and resilience education in disaster-prone areas, ultimately supporting the development of a new generation of professionals equipped to handle the complexities of coastal resilience and disaster management. © 2024 IEEE.","disaster management; experiential learning; resilient infrastructure; workforce development","Crushed stone plants; Curricula; Disaster prevention; Disasters; Earthquakes; Emotional intelligence; Empowerment of personnel; Engineering education; Engineering research; Ergonomics; Hazards; Risk management; Shore protection; Teaching; Coastal infrastructure; Disaster management; Experiential learning; High school students; Puerto Rico; Resilient infrastructure; Student engagement; Students' interests; Undergraduate students; Workforce development; Students",Conference Paper,"",Scopus
"Sagaris L., Peñafiel J., Orellana R., Guajardo M.F.","Participatory pedagogies enhance engineering education for sustainability",2024,"Educational Action Research","32","3",,"403","421",,1,"10.1080/09650792.2023.2240858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166776682&doi=10.1080%2f09650792.2023.2240858&partnerID=40&md5=91f0fd388ad34b5b907e9b290e71c5be","Using a survey, interviews, and reflections by the teaching-research team, we explored the effects of almost a decade of experimentation, inspired by Freire’s pedagogy for liberation, which applied participatory action research in engineering courses and in cities to develop professionals who are more committed to sustainability and more able to interact with ‘ordinary’ citizens in all their diversity. We found that using a planning-based participatory action research methodology, in the living laboratories of real city neighbourhoods, increased engineers’ appreciation of citizenship, sustainability and equity. While this experience does not pretend to universality, it does suggest ways that structuring action research into course activities and critical reflection can improve students’ understanding of sustainability and related social justice challenges. Moreover, this innovative pedagogy proved robust during two years of extreme disruption due to social protest and strict COVID-19 quarantines in Chile. The findings may benefit researchers and teachers grappling with similar challenges. © 2023 Educational Action Research.","engineering education; ethics; Freire; innovation in engineering education; participatory action research; participatory action research; service learning; service learning; sustainability; Sustainability education; transport justice; UN sustainable development goals",,Article,"",Scopus
"d'Escoffier L.N., Jiang D., Guerra A., Valderrama Pineda A.F., Abou-Hayt I.","Engineer students’ views on competencies for sustainable development: a case from a systemic PBL environment using Q methodology",2024,"European Journal of Engineering Education","49","5",,"928","944",,2,"10.1080/03043797.2024.2388122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200975185&doi=10.1080%2f03043797.2024.2388122&partnerID=40&md5=0c2b6b5cdd83d18f3a1b0b5b741e2913","Despite an emerging emphasis on the role of engineers in achieving the SDGs, there is still a lack of agreement on which competencies should be prioritised to prepare them to tackle future sustainability challenges. By formulating a theoretical framework of key sustainable competencies based on prior studies, this study investigated engineering students’ subjective views on which competencies they considered as the most important to support them in becoming sustainable engineers/designers. Using Q methodology, views were collected from 26 master students in a Sustainable Design programme in a Danish systemic problem- and project-based (PBL) context. Three key competencies were identified: collaboration, interdisciplinarity, and systemic thinking. Competences within the ‘doing’ and ‘being’ dimensions were represented the strongest. There is a hierarchy between the competencies, with collaboration being the highest level, as it demonstrates that it is transversal to the others. These results emphasised the role of PBL in developing competencies for sustainability and in reinforcing the value of Education for Sustainable Development. © 2024 SEFI.","education for sustainable development; Engineering education; problem-based learning; Q methodology; student viewpoints; sustainability competence","Engineering education; Engineers; Students; Systems thinking; Design programs; Education for sustainable development; Master students; Problem based learning; Problem-based; Q methodology; Student viewpoint; Students' views; Sustainability competence; Theoretical framework; Sustainable development",Article,"",Scopus
"Fontantella S., Fraccascia L., Nonino F., Baldissin N.","Technology in Engineering Education: The Sustainable Enterprise Business Game",2024,"Lecture Notes in Networks and Systems","1125 LNNS",,,"268","275",,,"10.1007/978-3-031-70465-9_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207021448&doi=10.1007%2f978-3-031-70465-9_26&partnerID=40&md5=e7d938d4e454cc5ef7b3b4bef55bc810","The aim of the article is to describe the reasons and the creation model for a business game designed to simulate a sustainable business model, a game that will then be applied within engineering education. Our research acknowledges the key relationship between the crucial role played by businesses embracing sustainable business models and the increasing use of digital platforms for education on sustainability goals. By integrating these components into the university curriculum, a comprehensive approach emerges that fosters the development of knowledge, essential skills, attitudes, and values dedicated to creating sustainable businesses of the future, developed by tomorrow's managers. Through the business game, individuals not only gain an understanding of the complexities of sustainability but also actively engage in initiatives aimed at promoting social impact and ensuring a sustainable future for generations to come. This digital business game for sustainability education is primarily dedicated to university students: especially those in engineering, but also those in other faculties, with the aim of providing instructions on how to start entrepreneurial activities through sustainable business models. This study contributes to the understanding of sustainable business practices and innovative educational methodologies, in line with the global imperative of sustainability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Business game; New educative technologies; Reskilling and Training; Sustainable education","Business games; Business models; Digital platforms; New educative technology; Reskilling and training; Social impact; Sustainable business; Sustainable educations; Sustainable enterprise; University curricula; Sustainable development goals",Conference Paper,"",Scopus
"Kunrath K., Leka S., Vestergaard L.S., Presser M., Ramanujan D.","A Digital Tool for Scaffolding Innovation Learning in Engineering Education with Local Industry Needs",2024,"International Journal of Engineering Education","40","4",,"801","814",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200664613&partnerID=40&md5=95fba3725dfe7d08364faef84634ce18","Providing students with the knowledge, skills, and competencies in innovation has become a central focus in engineering education. However, there is limited knowledge on which innovation skills must be supported to reduce the current knowledge gaps between universities and industry. Furthermore, there has been limited investigation into the role of digital solutions that can promote innovation education and the acquisition of industry-relevant innovation skills in engineering curricula. To this end, this paper explores the use of industry challenges (via case studies) as a resource that students and educators can use for targeted ideation and solutions development in teaching. We examined 78 innovation cases provided by local industries for two mandatory master-level courses on innovation at a Danish university. We identified dominant trends from the case descriptions that express areas of interest and demands from different industry sectors. Based on these findings, we have developed an interactive digital tool to support course instructors in increasing the accessibility and utility of industry-defined innovation cases in student-led ideation activities. © 2024 TEMPUS Publications.","engineering education; industry; innovation; sustainability","Curricula; Digital devices; E-learning; Scaffolds; Students; Teaching; 'current; Case-studies; Digital solutions; Digital tools; Engineering curriculum; Industry needs; Innovation; Innovation case; Knowledge gaps; Learning in engineering; Engineering education",Article,"",Scopus
"Luna M.E.O., Arce J.O.","Fostering Environmental Consciousness: Insights from Engineering Education and Sustainability Initiatives",2024,"IEEE Global Engineering Education Conference, EDUCON",,,,"","",,,"10.1109/EDUCON60312.2024.10578661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199029548&doi=10.1109%2fEDUCON60312.2024.10578661&partnerID=40&md5=66be696a21ff3080699ccc00ae2091da","This study examines the influence of educational interventions on environmental attitudes, awareness, and consumption habits across diverse participant groups, encompassing university engineering students, high school students, and attendees of a sustainability forum. Employing a quantitative approach, numerical values ranging from excellent to very bad were assigned to interpret participant responses. The findings indicate a positive impact of formal engineering education on waste management attitudes, with last-semester engineering students exhibiting the highest scores. Concurrently, participants with an intrinsic interest in sustainability, as demonstrated by sustainability forum attendance, displayed a heightened commitment to responsible consumption. While no significant differences emerged in consumption habits across different educational levels, the study emphasizes the pivotal role of intrinsic interest in fostering sustainable behavior. Furthermore, formal engineering training was associated with elevated environmental awareness, underscoring its importance in cultivating a profound understanding of environmental challenges and proposing effective solutions. The results advocate for the integration of sustainability education at various academic levels to promote a comprehensive approach to environmental stewardship. Beyond the classroom, these insights contribute to the development of a more sustainable and environmentally conscious society. This research extends our understanding of the dynamic interplay between education, attitudes, and behaviors, providing valuable implications for educators, policymakers, and researchers seeking to advance sustainability initiatives. © 2024 IEEE.","College community attitudes; Consumption habits; Engineering Education; Environmental Consciousness; Sustainability Education","Students; Sustainable development; Waste management; Attitude awareness; College community attitude; Consumption habit; Educational intervention; Environmental attitudes; Environmental consciousness; Formal engineerings; High school students; Quantitative approach; Sustainability education; Engineering education",Conference Paper,"",Scopus
"Kengo S., Syun-ichi U., Yusuke H., Takuto Y., Kiyokazu U., Hajime A.","Designing Educational Board Games of Global Anthropogenic Issues Through Interdisciplinary Collaboration",2024,"Lecture Notes in Networks and Systems","901 LNNS",,,"423","434",,,"10.1007/978-3-031-53022-7_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185725308&doi=10.1007%2f978-3-031-53022-7_42&partnerID=40&md5=fe91e3efdb06d52552609b0955a7047d","To contribute to the mitigation of global anthropogenic crises, engineering education needs to provide holistic views of these crises through collaborating with experts in various fields. This study designed three educational board games representing common structures among global anthropogenic issues and investigated their effects on the lessons learned by university students. Experts in Energy System Engineering, Virology, Philosophy of Education, Design Science, Agricultural Economics, and Law participated in this study. The 2nd, 3rd, and 4th authors of this study designed games named ‘Parasite Wars’, ‘The Dialogue with Future’, and ‘The House”. The concept of games, such as themes, roles and purposes of players, and lessons expected to be imparted to participants, largely differed among the games; each designer represented the same issues from very different perspectives. The results of test sessions with 60 students suggest that participants learned lessons relevant to the messages that the designers conveyed. Further, discussions and reviews for designing board games are useful to understand the perspectives and approaches of experts in other fields and reflect on the roles of their own disciplines in terms of sustainability education. Such interdisciplinary collaboration enables the design of educational content that complements diverse perspectives on global anthropogenic issues and has the potential to help promote a holistic view of such complex issues. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Anthropocene; Game-based Learning; Interdisciplinary Collaboration","Agriculture; Engineering education; Students; Anthropocene; Anthropogenics; Board games; Common structures; Education designs; Energy systems engineerings; Game-based Learning; Holistic view; Interdisciplinary collaborations; University students; Economics",Conference Paper,"",Scopus
"Guerra A., Baier A.","What conflicts does sustainability bring to engineering education? An exercise to uncover systemic and institutional barriers as well as ways to overcome them",2024,"SEFI 2024 - 52nd Annual Conference of the European Society for Engineering, Proceedings: Educating Responsible Engineers",,,,"2547","2551",,,"10.5281/zenodo.14260931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218849530&doi=10.5281%2fzenodo.14260931&partnerID=40&md5=7ca9e45cc9c3894fcd740283cbe6e66a",[No abstract available],"conflicts; engineering education; opportunities; Sustainability education",,Conference Paper,"",Scopus
